Sample,Pre,Post,Post-Pre
DTB-080,0.152038509307,-7.66490737141,-7.81694588072
DTB-063,0.500090596438,-4.43158155112,-4.93167214756
DTB-176,0.684194604382,-3.4599673776,-4.14416198199
DTB-194,-0.126417258825,-3.55356636931,-3.42714911049
DTB-141,0.375937360119,-2.56972856118,-2.9456659213
DTB-149,1.88180002732,-0.635469657351,-2.51726968468
DTB-127,1.1444413013,-1.13831904685,-2.28276034815
DTB-137,0.821366327526,-1.3878602985,-2.20922662603
DTB-135,0.480914930261,-1.57339794473,-2.05431287499
DTB-060,4.69502627751,3.56130831963,-1.13371795788
DTB-024,-0.42016936556,-1.06727983567,-0.647110470107
DTB-022,-0.79151875087,-0.465876201678,0.325642549192
DTB-102,0.366786581536,0.710270446225,0.343483864688
DTB-073,-1.16705789929,1.45319469102,2.62025259031
DTB-089,-3.22170392427,1.31300528831,4.53470921258
DTB-111,-2.32888891012,2.23741476585,4.56630367597
